,PGC,GWGC_name,HyperLEDA_name,2MASS_name,SDSS-DR12_name,Type,RA,Dec,dist,dist_err,z,B_mag,B_err,B_Abs,J_mag,J_err,H_mag,H_err,K_mag,K_err,flag2,flag3,Av,SkyCoord,HST,used
777,16146.0,IC2099,IC2099,04505207-0453337,,G,72.716988,-4.892713,37.218126882,,0.020166999999999997,14.342,,-18.5118,12.398,0.027999999999999997,11.86,0.042,11.52,0.071,3,1,0.088,"<SkyCoord (FK5: equinox=J2000.000): (ra, dec) in deg
    (72.716988, -4.892713)>",0.0,False
778,41323.0,IC3436,IC3436,12302995+1940233,,G,187.624802,19.673149,14.9926542501,,0.016748,14.669,,-16.2104,12.385,0.024,11.689,0.036000000000000004,11.522,0.048,3,1,0.081,"<SkyCoord (FK5: equinox=J2000.000): (ra, dec) in deg
    (187.624802, 19.673149)>",0.0,False
779,34522.0,PGC034522,PGC034522,11175802+1726284,,G,169.49176,17.441235,14.3553586603,,0.014762,14.886,,-15.8991,12.467,0.028999999999999998,11.817,0.043,11.52,0.06,3,1,0.052,"<SkyCoord (FK5: equinox=J2000.000): (ra, dec) in deg
    (169.49176, 17.441235)>",0.0,False
780,170179.0,PGC170179,PGC170179,11551316-0901333,,G,178.804871,-9.025941,19.4233888078,,0.003254,14.515999999999998,,-16.9256,12.332,0.03,11.668,0.037000000000000005,11.535,0.077,3,1,0.162,"<SkyCoord (FK5: equinox=J2000.000): (ra, dec) in deg
    (178.804871, -9.025941)>",0.0,False
781,39160.0,IC3063,IC3063,12150681+1201002,,G,183.778412,12.016747,34.6665197519,,0.015531,14.5,,-18.1996,12.43,0.028999999999999998,11.69,0.040999999999999995,11.525,0.063,3,1,0.081,"<SkyCoord (FK5: equinox=J2000.000): (ra, dec) in deg
    (183.778412, 12.016747)>",0.0,False
782,27809.0,ESO566-002,ESO566-002,09431690-1952197,,G,145.820419,-19.872139,31.432649367699998,,0.02508,14.81,,-17.6769,12.636,0.048,11.835,0.05,11.547,0.084,3,1,0.186,"<SkyCoord (FK5: equinox=J2000.000): (ra, dec) in deg
    (145.820419, -19.872139)>",0.0,False
783,51309.0,PGC051309,PGC051309,14213708+5023256,,G,215.40451000000002,50.390453,36.823082086599996,,0.031684,14.921,,-17.9096,12.573,0.034,11.832,0.044000000000000004,11.536,0.066,3,1,0.059,"<SkyCoord (FK5: equinox=J2000.000): (ra, dec) in deg
    (215.40451, 50.390453)>",0.0,False
784,28559.0,ESO499-017,ESO499-017,09542132-2244592,,G,148.588837,-22.749781,39.0247602217,,0.009444,14.897,,-18.0597,12.44,0.031,11.753,0.035,11.546,0.073,3,1,0.124,"<SkyCoord (FK5: equinox=J2000.000): (ra, dec) in deg
    (148.588837, -22.749781)>",0.0,False
785,31601.0,UGC05776,UGC05776,10380167+6415583,,G,159.506973,64.266205,28.0078295156,,0.012941,14.742,,-17.4944,12.38,0.026000000000000002,11.72,0.038,11.54,0.057,3,1,0.034,"<SkyCoord (FK5: equinox=J2000.000): (ra, dec) in deg
    (159.506973, 64.266205)>",0.0,False
786,11744.0,PGC011744,PGC011744,03081902-1354105,,G,47.079269000000004,-13.90293,25.9705418051,,0.007959,13.944,,-18.1284,12.379000000000001,0.026000000000000002,11.779000000000002,0.037000000000000005,11.562000000000001,0.064,3,1,0.184,"<SkyCoord (FK5: equinox=J2000.000): (ra, dec) in deg
    (47.079269, -13.90293)>",0.0,False
787,71646.0,PGC071646,PGC071646,23310337-0213497,,G,352.764069,-2.2304779999999997,35.911654368200004,,0.0072771336385700006,15.16,0.32,-17.6162,12.562999999999999,0.027000000000000003,11.882,0.039,11.558,0.057,3,1,0.128,"<SkyCoord (FK5: equinox=J2000.000): (ra, dec) in deg
    (352.764069, -2.230478)>",0.0,False
788,24429.0,ESO563-012,ESO563-012,08413876-2044391,,G,130.41153,-20.744215,30.678911393699998,,0.009236,13.787,,-18.6472,12.495999999999999,0.054000000000000006,11.815,0.073,11.591,0.11199999999999999,3,1,0.364,"<SkyCoord (FK5: equinox=J2000.000): (ra, dec) in deg
    (130.41153, -20.744215)>",0.0,False
789,24661.0,UGC04590,UGC04590,08463990+1312487,,G,131.66629,13.213551,29.773830975,,0.018158,14.533,,-17.8362,12.466,0.032,11.809000000000001,0.046,11.558,0.061,3,1,0.094,"<SkyCoord (FK5: equinox=J2000.000): (ra, dec) in deg
    (131.66629, 13.213551)>",0.0,False
790,3093997.0,PGC3093997,PGC3093997,08434684-1740460,,G,130.945175,-17.679454999999997,28.193898958200002,,0.021342,14.805,,-17.4458,12.520999999999999,0.031,11.866,0.045,11.577,0.07400000000000001,3,1,0.202,"<SkyCoord (FK5: equinox=J2000.000): (ra, dec) in deg
    (130.945175, -17.679455)>",0.0,False
791,41155.0,IC3413,IC3413,12292248+1126016,,G,187.34368899999998,11.433786,18.7289954203,,0.008449,14.093,,-17.2696,12.439,0.05,11.690999999999999,0.066,11.565,0.10400000000000001,3,1,0.085,"<SkyCoord (FK5: equinox=J2000.000): (ra, dec) in deg
    (187.343689, 11.433786)>",0.0,False
792,45552.0,IC0851,IC0851,13083435+2102590,,G,197.143127,21.049742000000002,36.619069931,,0.013227000000000001,13.764000000000001,,-19.0545,12.443,0.045,11.845999999999998,0.064,11.572000000000001,0.095,3,1,0.092,"<SkyCoord (FK5: equinox=J2000.000): (ra, dec) in deg
    (197.143127, 21.049742)>",0.0,False
